Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea,Price_per_Room,property_type
Gladstone Park,9 Windermere Cr,3,h,490000.0,SP,Stockdale,6/08/2016,3043,Western Metropolitan,3285,12.9,Hume City Council,163333.33333333334,House
Glen Iris,10 Hazeldine Rd,4,h,2538000.0,S,Marshall,6/08/2016,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,634500.0,House
Glen Iris,20/1553 High St,1,u,255000.0,PI,Buxton,6/08/2016,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,255000.0,Unit
Glen Iris,1 Montana St,4,h,2300000.0,VB,Jellis,6/08/2016,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,575000.0,House
Glen Waverley,10 Kuebler St,4,h,1680000.0,S,Barry,6/08/2016,3150,Eastern Metropolitan,15321,16.7,Monash City Council,420000.0,House
Glen Waverley,1 Montie Ct,3,h,900000.0,PI,Harcourts,6/08/2016,3150,Eastern Metropolitan,15321,16.7,Monash City Council,300000.0,House
Glen Waverley,3 Short St,5,h,2100000.0,PI,Barry,6/08/2016,3150,Eastern Metropolitan,15321,16.7,Monash City Council,420000.0,House
Glenroy,123 Glenroy Rd,3,h,670000.0,S,Stockdale,6/08/2016,3046,Northern Metropolitan,8870,11.2,Moreland City Council,223333.33333333334,House
Glenroy,3/27 Harold St,2,u,430000.0,PI,Jason,6/08/2016,3046,Northern Metropolitan,8870,11.2,Moreland City Council,215000.0,Unit
Glenroy,45 Stanley St,2,h,852500.0,S,Barry,6/08/2016,3046,Northern Metropolitan,8870,11.2,Moreland City Council,426250.0,House
Glenroy,46 Stanley St,4,h,1025000.0,S,Burnham,6/08/2016,3046,Northern Metropolitan,8870,11.2,Moreland City Council,256250.0,House
Gowanbrae,41 Balerno Cir,3,h,504000.0,S,Nelson,6/08/2016,3043,Western Metropolitan,1071,12.9,Moreland City Council,168000.0,House
Greensborough,16 Gilmour Ct,4,h,685000.0,SP,Buckingham,6/08/2016,3088,Northern Metropolitan,8524,16.1,Banyule City Council,171250.0,House
Greensborough,26 Santon St,2,h,600500.0,S,Fletchers,6/08/2016,3088,Northern Metropolitan,8524,16.1,Banyule City Council,300250.0,House
Greenvale,4 Overton Cl,3,h,546000.0,S,Peter,6/08/2016,3059,Northern Metropolitan,4864,20.4,Hume City Council,182000.0,House
Hampton,3/46 Fewster Rd,2,u,760000.0,S,hockingstuart,6/08/2016,3188,Southern Metropolitan,5454,13.8,Bayside City Council,380000.0,Unit
Hampton,5/440 Hampton St,2,u,616000.0,PI,RT,6/08/2016,3188,Southern Metropolitan,5454,13.8,Bayside City Council,308000.0,Unit
Hampton,131 Linacre Rd,4,h,1680000.0,S,hockingstuart,6/08/2016,3188,Southern Metropolitan,5454,13.8,Bayside City Council,420000.0,House
Hampton,139 Linacre Rd,5,h,2520000.0,S,Buxton,6/08/2016,3188,Southern Metropolitan,5454,13.8,Bayside City Council,504000.0,House
Hampton East,1/2 Cooke Av,3,u,525000.0,S,Buxton,6/08/2016,3188,Southern Metropolitan,2356,13.8,Bayside City Council,175000.0,Unit
Hampton East,9 Summit Av,3,t,1297500.0,SA,Ray,6/08/2016,3188,Southern Metropolitan,2356,13.8,Bayside City Council,432500.0,Townhouse
Hampton Park,28 Millswyn Av,5,h,462000.0,S,O'Brien,6/08/2016,3976,South-Eastern Metropolitan,8256,33.3,Casey City Council,92400.0,House
Hawthorn,7 Brook St,3,h,2000000.0,S,Nelson,6/08/2016,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,666666.6666666666,House
Hawthorn,6/107 Riversdale Rd,2,u,500000.0,VB,Marshall,6/08/2016,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,250000.0,Unit
Hawthorn East,748 Burwood Rd,5,h,1700000.0,S,Marshall,6/08/2016,3123,Southern Metropolitan,6482,6.2,Boroondara City Council,340000.0,House
Hawthorn East,22 Miami St,3,h,1650000.0,VB,RT,6/08/2016,3123,Southern Metropolitan,6482,6.2,Boroondara City Council,550000.0,House
Heathmont,9 Lorienne St,3,h,858000.0,S,Philip,6/08/2016,3135,Eastern Metropolitan,3794,21.3,Maroondah City Council,286000.0,House
Heidelberg,22 Almay Gr,3,h,1220000.0,S,Miles,6/08/2016,3084,Eastern Metropolitan,2890,8.9,Banyule City Council,406666.6666666667,House
Heidelberg,4/71 Rosanna Rd,3,t,550000.0,PI,hockingstuart,6/08/2016,3084,Eastern Metropolitan,2890,8.9,Banyule City Council,183333.33333333334,Townhouse
Heidelberg,6/542 Upper Heidelberg Rd,2,u,585000.0,PI,Barry,6/08/2016,3084,Eastern Metropolitan,2890,8.9,Banyule City Council,292500.0,Unit
Heidelberg,4/51 Yarra St,2,t,705000.0,S,Miles,6/08/2016,3084,Eastern Metropolitan,2890,8.9,Banyule City Council,352500.0,Townhouse
Heidelberg Heights,16 Bamfield Rd,2,t,565000.0,S,Miles,6/08/2016,3081,Eastern Metropolitan,2947,8.8,Banyule City Council,282500.0,Townhouse
Heidelberg Heights,78 Edwin St,5,h,1587500.0,S,Miles,6/08/2016,3081,Eastern Metropolitan,2947,8.8,Banyule City Council,317500.0,House
Heidelberg West,335 Liberty Pde,1,h,405000.0,S,Nelson,6/08/2016,3081,Eastern Metropolitan,2674,8.8,Banyule City Council,405000.0,House
Hillside,6 Colburn Ct,3,h,452000.0,S,Ray,6/08/2016,3037,Western Metropolitan,5556,18.0,Brimbank City Council,150666.66666666666,House
Hoppers Crossing,43 Guinane Av,4,h,365000.0,S,Sweeney,6/08/2016,3029,Western Metropolitan,13830,18.4,Wyndham City Council,91250.0,House
Hoppers Crossing,173 Heaths Rd,4,h,455000.0,S,YPA,6/08/2016,3029,Western Metropolitan,13830,18.4,Wyndham City Council,113750.0,House
Hughesdale,30 Kinrade St,3,h,1316000.0,S,Ray,6/08/2016,3166,Southern Metropolitan,3145,12.3,Monash City Council,438666.6666666667,House
Ivanhoe,7/15 Carn Av,2,u,581000.0,S,Miles,6/08/2016,3079,Eastern Metropolitan,5549,7.8,Banyule City Council,290500.0,Unit
Ivanhoe East,24 Flora Gr,3,h,1605000.0,S,Miles,6/08/2016,3079,Eastern Metropolitan,1554,7.8,Banyule City Council,535000.0,House
Ivanhoe East,5/3 Rotherwood Rd,2,u,470000.0,VB,Nelson,6/08/2016,3079,Eastern Metropolitan,1554,7.8,Banyule City Council,235000.0,Unit
Ivanhoe East,61 Streeton Cr,5,h,3350000.0,S,Miles,6/08/2016,3079,Eastern Metropolitan,1554,7.8,Banyule City Council,670000.0,House
Jacana,60 Lorraine Cr,3,h,398000.0,S,Barry,6/08/2016,3047,Northern Metropolitan,851,14.0,Hume City Council,132666.66666666666,House
Kealba,13 Woburn Cl,4,h,500000.0,S,hockingstuart,6/08/2016,3021,Western Metropolitan,1202,14.0,Brimbank City Council,125000.0,House
Keilor,5 Albatross Ct,3,h,515000.0,SP,Brad,6/08/2016,3036,Western Metropolitan,2339,14.5,Brimbank City Council,171666.66666666666,House
Keilor,40 Hopkins Av,4,h,680000.0,VB,Brad,6/08/2016,3036,Western Metropolitan,2339,14.5,Brimbank City Council,170000.0,House
Keilor Downs,1/6 Proctor Cr,3,h,390000.0,S,Barry,6/08/2016,3038,Western Metropolitan,3656,15.5,Brimbank City Council,130000.0,House
Keilor Downs,1/4 Thornhill Dr,3,t,511000.0,S,Barry,6/08/2016,3038,Western Metropolitan,3656,15.5,Brimbank City Council,170333.33333333334,Townhouse
Keilor East,16a Chandler St,3,t,590000.0,VB,Nelson,6/08/2016,3033,Western Metropolitan,5629,11.7,Brimbank City Council,196666.66666666666,Townhouse
Kensington,61 Bangalore St,3,h,1291000.0,SP,Edward,6/08/2016,3031,Northern Metropolitan,5263,3.4,Melbourne City Council,430333.3333333333,House
Kensington,1/16 Mawbey St,2,u,420000.0,SP,Nelson,6/08/2016,3031,Northern Metropolitan,5263,3.4,Melbourne City Council,210000.0,Unit
Kensington,2 Rourke La,2,t,750000.0,S,Edward,6/08/2016,3031,Northern Metropolitan,5263,3.4,Melbourne City Council,375000.0,Townhouse
Kensington,106/80 Speakmen St,1,u,312000.0,SP,Edward,6/08/2016,3031,Northern Metropolitan,5263,3.4,Melbourne City Council,312000.0,Unit
Kew,4/11 Bowen St,2,u,831000.0,S,Noel,6/08/2016,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,415500.0,Unit
Kew,57 Cobden St,4,h,2130000.0,S,Jellis,6/08/2016,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,532500.0,House
Kew,11/912 Glenferrie Rd,2,u,650000.0,VB,Fletchers,6/08/2016,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,325000.0,Unit
Kew,2/380 High St,2,u,599000.0,S,Christopher,6/08/2016,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,299500.0,Unit
Kew,13/54 Studley Park Rd,2,u,820000.0,S,Marshall,6/08/2016,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,410000.0,Unit
Kew,9 Tregarron Av,4,h,2300000.0,PI,Kay,6/08/2016,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,575000.0,House
Keysborough,4 Boronia Ct,3,h,437000.0,S,Stockdale,6/08/2016,3173,South-Eastern Metropolitan,8459,25.2,Greater Dandenong City Council,145666.66666666666,House
Kingsville,4 Chirnside St,3,h,817000.0,S,Village,6/08/2016,3012,Western Metropolitan,1808,6.4,Maribyrnong City Council,272333.3333333333,House
Kingsville,132 Coronation St,3,h,1035000.0,SP,Village,6/08/2016,3012,Western Metropolitan,1808,6.4,Maribyrnong City Council,345000.0,House
Lalor,8b Newton Cr,2,h,405000.0,S,Harcourts,6/08/2016,3075,Northern Metropolitan,8279,16.3,Whittlesea City Council,202500.0,House
Maidstone,4/11 Edmund St,2,h,423000.0,S,Sweeney,6/08/2016,3012,Western Metropolitan,3873,6.4,Maribyrnong City Council,211500.0,House
Malvern,67 Wheatland Rd,4,h,2400000.0,VB,Marshall,6/08/2016,3144,Southern Metropolitan,4675,5.9,Stonnington City Council,600000.0,House
Malvern East,38 MacGregor St,3,h,1837000.0,S,Marshall,6/08/2016,3145,Southern Metropolitan,8801,8.4,Stonnington City Council,612333.3333333334,House
Malvern East,2083 Malvern Rd,3,h,1105000.0,S,Buxton,6/08/2016,3145,Southern Metropolitan,8801,8.4,Stonnington City Council,368333.3333333333,House
McKinnon,1/37 Graham Av,3,t,1197000.0,S,hockingstuart,6/08/2016,3204,Southern Metropolitan,2397,11.4,Glen Eira City Council,399000.0,Townhouse
McKinnon,318 McKinnon Rd,3,h,1688000.0,S,hockingstuart,6/08/2016,3204,Southern Metropolitan,2397,11.4,Glen Eira City Council,562666.6666666666,House
Mentone,132 Charman Rd,4,h,1620000.0,PI,Maitland,6/08/2016,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council,405000.0,House
Mentone,1 Chicquita Cct,4,t,795000.0,SP,Buxton,6/08/2016,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council,198750.0,Townhouse
Mentone,2/41 Houston St,3,t,675000.0,S,Hodges,6/08/2016,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council,225000.0,Townhouse
Mentone,25 Marina Rd,5,h,1860000.0,S,Hodges,6/08/2016,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council,372000.0,House
Mentone,1/49 Plummer Rd,3,u,965000.0,S,Buxton,6/08/2016,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council,321666.6666666667,Unit
Mernda,12 Softwood Dr,3,h,410000.0,SP,LJ,6/08/2016,3754,Northern Metropolitan,5812,25.9,Whittlesea City Council,136666.66666666666,House
Mill Park,10 Peugeot Prst,4,h,745000.0,S,Harcourts,6/08/2016,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,186250.0,House
Mitcham,2/12 Quarry Rd,2,u,642000.0,S,Jellis,6/08/2016,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council,321000.0,Unit
Mitcham,55 Rosstrevor Cr,2,h,735000.0,S,Jellis,6/08/2016,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council,367500.0,House
Mitcham,3 Victory St,3,h,910000.0,S,hockingstuart,6/08/2016,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council,303333.3333333333,House
Montmorency,34 Coventry St,4,h,1005000.0,S,Buckingham,6/08/2016,3094,Eastern Metropolitan,3891,16.2,Banyule City Council,251250.0,House
Mordialloc,5/460 Como Pde W,2,u,762000.0,S,Hodges,6/08/2016,3195,South-Eastern Metropolitan,3650,21.5,Kingston City Council,381000.0,Unit
Mount Waverley,26 Cheviot Rd,3,t,1050000.0,S,Buxton,6/08/2016,3149,Eastern Metropolitan,13366,14.2,Monash City Council,350000.0,Townhouse
Mount Waverley,2/1 Esther Ct,3,u,980000.0,S,Barry,6/08/2016,3149,Eastern Metropolitan,13366,14.2,Monash City Council,326666.6666666667,Unit
Mount Waverley,86 Muir St,4,h,1550000.0,S,Buxton,6/08/2016,3149,Eastern Metropolitan,13366,14.2,Monash City Council,387500.0,House
Mount Waverley,1/30 Sadie St,4,t,830000.0,S,Barry,6/08/2016,3149,Eastern Metropolitan,13366,14.2,Monash City Council,207500.0,Townhouse
Mulgrave,71 Haverbrack Dr,4,h,750000.0,S,Ray,6/08/2016,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,187500.0,House
Mulgrave,1/73 Wattle Gr,3,t,655000.0,S,Ray,6/08/2016,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,218333.33333333334,Townhouse
Murrumbeena,2/11 Howe St,2,u,740000.0,S,Buxton,6/08/2016,3163,Southern Metropolitan,4442,10.1,Glen Eira City Council,370000.0,Unit
Murrumbeena,7 Thomson Av,3,h,1420000.0,S,Woodards,6/08/2016,3163,Southern Metropolitan,4442,10.1,Glen Eira City Council,473333.3333333333,House
Narre Warren,17 Greenacre Cr,4,h,568000.0,SP,O'Brien,6/08/2016,3805,South-Eastern Metropolitan,9376,34.1,Casey City Council,142000.0,House
Newport,4/31 Clyde St,3,h,655800.0,S,Greg,6/08/2016,3015,Western Metropolitan,5498,6.2,Hobsons Bay City Council,218600.0,House
Newport,51 Home Rd,4,h,1082000.0,S,Village,6/08/2016,3015,Western Metropolitan,5498,6.2,Hobsons Bay City Council,270500.0,House
Newport,3 River St,3,h,1210000.0,SP,Williams,6/08/2016,3015,Western Metropolitan,5498,6.2,Hobsons Bay City Council,403333.3333333333,House
Noble Park,8 Kuringgai Cr,4,h,670000.0,SP,Raine,6/08/2016,3174,South-Eastern Metropolitan,11806,22.7,Greater Dandenong City Council,167500.0,House
Noble Park,44 Nockolds Cr,3,h,770000.0,PI,iSell,6/08/2016,3174,South-Eastern Metropolitan,11806,22.7,Greater Dandenong City Council,256666.66666666666,House
Northcote,11/94 Union St,2,u,583000.0,SP,Nelson,6/08/2016,3070,Northern Metropolitan,11364,5.3,Darebin City Council,291500.0,Unit
Nunawading,3/93 Esdale St,3,t,840000.0,S,Jellis,6/08/2016,3131,Eastern Metropolitan,4973,15.4,Manningham City Council,280000.0,Townhouse
Nunawading,6 Shrewsbury Rd,3,h,928000.0,S,Fletchers,6/08/2016,3131,Eastern Metropolitan,4973,15.4,Manningham City Council,309333.3333333333,House
Oak Park,1/9 Cartwright St,2,u,476000.0,S,hockingstuart,6/08/2016,3046,Northern Metropolitan,2651,11.2,Moreland City Council,238000.0,Unit
Oakleigh East,46 Carmichael Rd,3,h,1115000.0,S,Buxton,6/08/2016,3166,Southern Metropolitan,2547,12.3,Monash City Council,371666.6666666667,House
Oakleigh East,16 Gamble St,3,h,952000.0,S,Ray,6/08/2016,3166,Southern Metropolitan,2547,12.3,Monash City Council,317333.3333333333,House
Oakleigh East,2/18 Oakleigh St,4,t,680000.0,PI,RT,6/08/2016,3166,Southern Metropolitan,2547,12.3,Monash City Council,170000.0,Townhouse
Oakleigh East,2a Turnbull Av,2,h,610000.0,S,Ray,6/08/2016,3166,Southern Metropolitan,2547,12.3,Monash City Council,305000.0,House
Ormond,1 Bethell St,3,h,1256000.0,S,hockingstuart,6/08/2016,3204,Southern Metropolitan,3578,11.4,Glen Eira City Council,418666.6666666667,House
Ormond,15 Tyrone St,4,h,1918000.0,S,Buxton,6/08/2016,3204,Southern Metropolitan,3578,11.4,Glen Eira City Council,479500.0,House
Ormond,2/27 Wheeler St,3,u,900000.0,S,hockingstuart,6/08/2016,3204,Southern Metropolitan,3578,11.4,Glen Eira City Council,300000.0,Unit
Parkdale,2/1 Imes St,2,u,647000.0,S,Chisholm,6/08/2016,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council,323500.0,Unit
Parkdale,19/156 Lower Dandenong Rd,3,u,601000.0,S,Buxton,6/08/2016,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council,200333.33333333334,Unit
Pascoe Vale,16 Burgundy St,2,h,555000.0,S,Brad,6/08/2016,3044,Northern Metropolitan,7485,8.5,Moreland City Council,277500.0,House
Pascoe Vale,2/22 Joffre Rd,3,u,585000.0,S,Jellis,6/08/2016,3044,Northern Metropolitan,7485,8.5,Moreland City Council,195000.0,Unit
Pascoe Vale,6/99 Kent Rd,2,t,480000.0,S,Ray,6/08/2016,3044,Northern Metropolitan,7485,8.5,Moreland City Council,240000.0,Townhouse
Pascoe Vale,2/58 Railway Pde,2,t,480000.0,PI,Nelson,6/08/2016,3044,Northern Metropolitan,7485,8.5,Moreland City Council,240000.0,Townhouse
Pascoe Vale,1/94 Railway Pde,4,t,605000.0,PI,Brad,6/08/2016,3044,Northern Metropolitan,7485,8.5,Moreland City Council,151250.0,Townhouse
Port Melbourne,304/38 Nott St,2,u,795000.0,S,Cayzer,6/08/2016,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,397500.0,Unit
Port Melbourne,130/70 Nott St,2,u,590000.0,VB,Marshall,6/08/2016,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,295000.0,Unit
Port Melbourne,89 Raglan St,4,h,1502000.0,S,Chisholm,6/08/2016,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,375500.0,House
Prahran,4/313 Dandenong Rd,1,u,330000.0,VB,hockingstuart,6/08/2016,3181,Southern Metropolitan,7717,4.6,Stonnington City Council,330000.0,Unit
Prahran,14 Doon St,3,h,1430000.0,S,Marshall,6/08/2016,3181,Southern Metropolitan,7717,4.6,Stonnington City Council,476666.6666666667,House
Prahran,10/37 Greville St,1,u,325000.0,VB,Biggin,6/08/2016,3181,Southern Metropolitan,7717,4.6,Stonnington City Council,325000.0,Unit
Prahran,16 Park Rd,3,t,1245000.0,PI,Marshall,6/08/2016,3181,Southern Metropolitan,7717,4.6,Stonnington City Council,415000.0,Townhouse
Preston,24 Benambra St,3,h,840000.0,S,Barry,6/08/2016,3072,Northern Metropolitan,14577,8.4,Darebin City Council,280000.0,House
Preston,2/3 Burkitt Ct,3,u,496000.0,S,hockingstuart,6/08/2016,3072,Northern Metropolitan,14577,8.4,Darebin City Council,165333.33333333334,Unit
Preston,8/226 Gower St,2,t,462500.0,S,Ray,6/08/2016,3072,Northern Metropolitan,14577,8.4,Darebin City Council,231250.0,Townhouse
Preston,10 May St,4,h,931000.0,S,Nelson,6/08/2016,3072,Northern Metropolitan,14577,8.4,Darebin City Council,232750.0,House
Preston,5 Newman St,2,h,942000.0,S,Love,6/08/2016,3072,Northern Metropolitan,14577,8.4,Darebin City Council,471000.0,House
Reservoir,57 Barry St,3,h,800000.0,S,Barry,6/08/2016,3073,Northern Metropolitan,21650,12.0,Darebin City Council,266666.6666666667,House
Reservoir,29 Dredge St,3,h,510000.0,PI,Barry,6/08/2016,3073,Northern Metropolitan,21650,12.0,Darebin City Council,170000.0,House
Reservoir,86 Hickford St,3,h,651000.0,SP,Ray,6/08/2016,3073,Northern Metropolitan,21650,12.0,Darebin City Council,217000.0,House
Reservoir,10 Zinnia St,3,h,502500.0,S,Ray,6/08/2016,3073,Northern Metropolitan,21650,12.0,Darebin City Council,167500.0,House
Richmond,22 Buckingham St,2,h,720000.0,S,Biggin,6/08/2016,3121,Northern Metropolitan,14949,2.4,Yarra City Council,360000.0,House
Richmond,36/86 Burnley St,2,u,550000.0,SP,Jellis,6/08/2016,3121,Northern Metropolitan,14949,2.4,Yarra City Council,275000.0,Unit
Richmond,21 Gardner St,3,h,1152500.0,S,Biggin,6/08/2016,3121,Northern Metropolitan,14949,2.4,Yarra City Council,384166.6666666667,House
Richmond,33a River St,4,h,1375000.0,S,hockingstuart,6/08/2016,3121,Northern Metropolitan,14949,2.4,Yarra City Council,343750.0,House
Richmond,28 Stawell St,3,h,1422000.0,S,hockingstuart,6/08/2016,3121,Northern Metropolitan,14949,2.4,Yarra City Council,474000.0,House
Ringwood,75 Heywood St,3,h,760000.0,S,Fletchers,6/08/2016,3134,Eastern Metropolitan,7785,19.9,Maroondah City Council,253333.33333333334,House
Ringwood,2/49 Loughnan Rd,2,t,560000.0,SP,Fletchers,6/08/2016,3134,Eastern Metropolitan,7785,19.9,Maroondah City Council,280000.0,Townhouse
Ringwood,1 Margaret St,3,h,555000.0,SP,Barry,6/08/2016,3134,Eastern Metropolitan,7785,19.9,Maroondah City Council,185000.0,House
Sandhurst,11 Kensei Pl,3,h,688000.0,S,Asset,6/08/2016,3977,South-Eastern Metropolitan,1721,34.7,Frankston City Council,229333.33333333334,House
Sandringham,1 Edward St,4,h,2500000.0,PI,hockingstuart,6/08/2016,3191,Southern Metropolitan,4497,15.2,Bayside City Council,625000.0,House
Seaford,16 Downs Rd,2,h,350500.0,S,Munn,6/08/2016,3198,South-Eastern Metropolitan,8077,35.4,Frankston City Council,175250.0,House
Seaford,3/78 East Rd,3,h,429000.0,S,Ray,6/08/2016,3198,South-Eastern Metropolitan,8077,35.4,Frankston City Council,143000.0,House
Seaford,2/6 Wise Av,3,t,491000.0,PI,Barry,6/08/2016,3198,South-Eastern Metropolitan,8077,35.4,Frankston City Council,163666.66666666666,Townhouse
Seaholme,41 Simmons Dr,3,h,860000.0,PI,RT,6/08/2016,3018,Western Metropolitan,852,11.0,Hobsons Bay City Council,286666.6666666667,House
Seddon,24/294 Nicholson St,2,u,450000.0,S,Village,6/08/2016,3011,Western Metropolitan,2417,5.1,Maribyrnong City Council,225000.0,Unit
South Kingsville,1/39 New St,2,t,650000.0,SP,Greg,6/08/2016,3015,Western Metropolitan,984,6.2,Hobsons Bay City Council,325000.0,Townhouse
South Morang,3 Eden Ct,5,h,837000.0,S,Harcourts,6/08/2016,3752,Northern Metropolitan,7969,20.5,Whittlesea City Council,167400.0,House
South Yarra,2/13 Motherwell St,1,u,465000.0,S,Biggin,6/08/2016,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,465000.0,Unit
South Yarra,402/89 River St,2,u,801000.0,S,Biggin,6/08/2016,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,400500.0,Unit
Southbank,92/99 Whiteman St,2,u,650000.0,VB,Marshall,6/08/2016,3006,Southern Metropolitan,8400,0.7,Melbourne City Council,325000.0,Unit
Spotswood,10 Raleigh St,3,h,855000.0,S,RT,6/08/2016,3015,Western Metropolitan,1223,6.2,Hobsons Bay City Council,285000.0,House
Springvale,4 Grace St,3,h,680000.0,S,iSell,6/08/2016,3171,South-Eastern Metropolitan,7412,20.8,Greater Dandenong City Council,226666.66666666666,House
Springvale,28 Gunther Av,3,h,822000.0,S,iSell,6/08/2016,3171,South-Eastern Metropolitan,7412,20.8,Greater Dandenong City Council,274000.0,House
Springvale South,7 Bindi Cl,6,h,810000.0,S,Nexus,6/08/2016,3172,South-Eastern Metropolitan,4054,22.2,Greater Dandenong City Council,135000.0,House
St Albans,27 Mulhall Dr,4,h,700000.0,S,Ray,6/08/2016,3021,Western Metropolitan,14042,14.0,Brimbank City Council,175000.0,House
St Kilda,3/239 Canterbury Rd,1,u,211000.0,S,Gary,6/08/2016,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council,211000.0,Unit
St Kilda,74 Chapel St,2,h,875000.0,S,Noel,6/08/2016,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council,437500.0,House
St Kilda,1002/6 St Kilda Rd,1,u,440000.0,SP,hockingstuart,6/08/2016,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council,440000.0,Unit
St Kilda,303/115 Wellington St,3,u,1110000.0,S,Kay,6/08/2016,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council,370000.0,Unit
Strathmore,9/2 North Av,2,u,410000.0,S,Nelson,6/08/2016,3041,Western Metropolitan,3284,8.2,Moonee Valley City Council,205000.0,Unit
Strathmore,43 Woolart St,4,h,1015000.0,S,Considine,6/08/2016,3041,Western Metropolitan,3284,8.2,Moonee Valley City Council,253750.0,House
Sunshine,51 Ardoyne St,4,h,700000.0,PI,Douglas,6/08/2016,3020,Western Metropolitan,3755,10.5,Brimbank City Council,175000.0,House
Sunshine North,36 Buckley Av,3,h,545000.0,S,Sweeney,6/08/2016,3020,Western Metropolitan,4217,10.5,Brimbank City Council,181666.66666666666,House
Sunshine North,13 Surman Ct,3,h,480000.0,PI,Douglas,6/08/2016,3020,Western Metropolitan,4217,10.5,Brimbank City Council,160000.0,House
Sunshine North,38 Warwick Rd,2,h,435000.0,S,Douglas,6/08/2016,3020,Western Metropolitan,4217,10.5,Brimbank City Council,217500.0,House
Surrey Hills,18 Benson St,4,h,2500000.0,VB,Jellis,6/08/2016,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,625000.0,House
Surrey Hills,7 Empress Rd,3,h,1910000.0,S,Marshall,6/08/2016,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,636666.6666666666,House
Surrey Hills,16 Park Rd,2,h,1018000.0,S,RT,6/08/2016,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,509000.0,House
Sydenham,13 Brogil Wk,4,h,601000.0,S,Ray,6/08/2016,3037,Western Metropolitan,3640,18.0,Brimbank City Council,150250.0,House
Sydenham,14 Hume Dr,4,h,680000.0,S,GL,6/08/2016,3037,Western Metropolitan,3640,18.0,Brimbank City Council,170000.0,House
Tarneit,19 Armadale Ct,4,h,548000.0,S,hockingstuart,6/08/2016,3029,Western Metropolitan,10160,18.4,Wyndham City Council,137000.0,House
Tarneit,2 Seaton Ct,4,h,534000.0,S,Ray,6/08/2016,3029,Western Metropolitan,10160,18.4,Wyndham City Council,133500.0,House
Taylors Lakes,7 Lyell Pl,5,h,705000.0,S,Prof.,6/08/2016,3038,Western Metropolitan,5336,15.5,Brimbank City Council,141000.0,House
Templestowe,2 Glendarragh Rd,5,h,1030000.0,PI,Barry,6/08/2016,3106,Eastern Metropolitan,6202,15.5,Manningham City Council,206000.0,House
Templestowe,1/6 Reark Ct,4,t,1230000.0,PI,Ray,6/08/2016,3106,Eastern Metropolitan,6202,15.5,Manningham City Council,307500.0,Townhouse
Templestowe Lower,8 Corroboree Pl,3,h,1200000.0,S,Jellis,6/08/2016,3107,Eastern Metropolitan,5420,12.4,Manningham City Council,400000.0,House
Templestowe Lower,157 Swanston St,4,h,990000.0,PI,Barry,6/08/2016,3107,Eastern Metropolitan,5420,12.4,Manningham City Council,247500.0,House
Thomastown,26 Cedar St,4,h,640000.0,S,Love,6/08/2016,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council,160000.0,House
Toorak,4/8 Bruce St,2,u,925000.0,S,RT,6/08/2016,3142,Southern Metropolitan,7217,4.1,Stonnington City Council,462500.0,Unit
Toorak,10/1 Ruabon Rd,2,u,450000.0,PI,Rodney,6/08/2016,3142,Southern Metropolitan,7217,4.1,Stonnington City Council,225000.0,Unit
Toorak,15/24 Springfield Av,2,u,750000.0,S,Rodney,6/08/2016,3142,Southern Metropolitan,7217,4.1,Stonnington City Council,375000.0,Unit
